instancia, selectionSort, mergeSort
2048, 0.008324065, 4.55476E-4
2048, 0.006890507, 4.64437E-4
2048, 0.009476263, 6.2707E-4
2048, 0.008917191, 9.33009E-4
2048, 0.010042377, 5.5322E-4
2048, 0.010163727, 6.67593E-4
2048, 0.007851275, 4.42282E-4
2048, 0.008811712, 5.17208E-4
2048, 0.007137072, 4.23106E-4
2048, 0.007324156, 4.07687E-4
2048, 0.0070289, 5.67239E-4
2048, 0.010257879, 6.63367E-4
2048, 0.009314668, 5.81789E-4
2048, 0.0089223, 5.79318E-4
2048, 0.009058091, 6.37095E-4
2048, 0.008683456, 5.95423E-4
2048, 0.00885303, 6.54194E-4
2048, 0.008944981, 6.30678E-4
2048, 0.009363327, 6.43992E-4
2048, 0.008938928, 5.44972E-4
2048, 0.008673239, 4.99507E-4
2048, 0.008920791, 5.86245E-4
2048, 0.008950648, 7.04645E-4
2048, 0.010667019, 6.85054E-4
2048, 0.010869889, 5.95435E-4
2048, 0.010217261, 6.10865E-4
2048, 0.008734219, 5.95355E-4
2048, 0.008318526, 3.79472E-4
2048, 0.008172677, 6.40738E-4
2048, 0.008412535, 4.92319E-4
2048, 0.006117558, 4.32965E-4
2048, 0.007183436, 4.22317E-4
2048, 0.008204628, 4.13386E-4
2048, 0.006606333, 4.63939E-4
2048, 0.006235206, 3.84047E-4
2048, 0.00586218, 4.89151E-4
2048, 0.005629258, 3.6606E-4
2048, 0.006466844, 4.2421E-4
2048, 0.005611021, 4.51948E-4
2048, 0.005742979, 3.47836E-4
2048, 0.005572721, 3.80352E-4
2048, 0.005451338, 3.63446E-4
2048, 0.007729699, 4.13852E-4
2048, 0.005560967, 3.89517E-4
2048, 0.006827943, 5.086E-4
2048, 0.005880582, 3.72578E-4
2048, 0.005581692, 3.63635E-4
2048, 0.005450355, 3.68598E-4
2048, 0.005298704, 4.43721E-4
2048, 0.005050212, 3.67508E-4
2048, 0.00560956, 3.66666E-4
2048, 0.005261731, 3.71525E-4
2048, 0.005493597, 3.7073E-4
2048, 0.005285207, 3.563E-4
2048, 0.005223636, 3.69453E-4
2048, 0.005377844, 4.71832E-4
2048, 0.005516702, 3.14337E-4
2048, 0.004714045, 3.82524E-4
2048, 0.004904555, 3.06236E-4
2048, 0.004793427, 3.35012E-4
2048, 0.005069982, 3.58598E-4
2048, 0.005588963, 3.72656E-4
2048, 0.007216447, 4.80797E-4
2048, 0.007476949, 5.74112E-4
2048, 0.008530228, 5.87415E-4
2048, 0.010994596, 6.69849E-4
2048, 0.009255032, 6.38663E-4
2048, 0.008555525, 6.21722E-4
2048, 0.009387728, 6.04923E-4
2048, 0.008474863, 5.62718E-4
2048, 0.008527703, 5.63207E-4
2048, 0.008459307, 5.54063E-4
2048, 0.008511997, 5.47767E-4
2048, 0.008216046, 5.73556E-4
2048, 0.008528782, 7.28901E-4
2048, 0.00854988, 5.61118E-4
4096, 0.031735724, 9.7258E-4
4096, 0.021129979, 6.28321E-4
